pokemon_name,ability_name,description,url
Drifloon,Flare Boost,Powers up special attacks when burned.,https://pokemondb.net/ability/flare-boost
Cherrim,Flower Gift,raises the Attack and Special Defense of all party Pokémon by 50% during harsh sunlight.,https://pokemondb.net/ability/flower-gift
Salamence,Aerilate,causes all,https://pokemondb.net/ability/aerilate
Politoed,Drizzle,"creates a rain shower when the ability-bearer enters battle. The effect lasts 5 turns, unless it is cleared via",https://pokemondb.net/ability/drizzle
Ariados,Insomnia,"prevents the ability-bearer from falling asleep, both from moves by other Pokémon like",https://pokemondb.net/ability/insomnia
Politoed,Damp,prevents all Pokémon on the field from using the moves,https://pokemondb.net/ability/damp
Milotic,Marvel Scale,"raises the ability-bearer's Defense by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep).",https://pokemondb.net/ability/marvel-scale
Castform,Forecast,Castform transforms with the weather.,https://pokemondb.net/ability/forecast
Kecleon,Color Change,"changes the ability-bearer's type, when hit by a damage dealing move, to the type of that move. For example being hit by",https://pokemondb.net/ability/color-change
Shuckle,Sturdy,allows the Pokémon to survive with 1 HP if attacked at full HP with an attack that would otherwise knock it out. It also prevents One-Hit-KO moves (,https://pokemondb.net/ability/sturdy
Ariados,Swarm,increases the power of,https://pokemondb.net/ability/swarm
Zangoose,Toxic Boost,Powers up physical attacks when poisoned.,https://pokemondb.net/ability/toxic-boost
Machop,Steadfast,Raises Speed each time the Pokémon flinches.,https://pokemondb.net/ability/steadfast
Machop,No Guard,"ensures that all attacks used by, and targeted at, the ability-bearer hit without fail.",https://pokemondb.net/ability/no-guard
Ekans,Unnerve,Makes the foe nervous and unable to eat Berries.,https://pokemondb.net/ability/unnerve
Zangoose,Immunity,Prevents the Pokémon from getting poisoned.,https://pokemondb.net/ability/immunity
Pikachu,Lightning Rod,forces all single-target,https://pokemondb.net/ability/lightning-rod
Trapinch,Arena Trap,prevents opponents from fleeing or switching out.,https://pokemondb.net/ability/arena-trap
Camerupt,Magma Armor,"prevents the Pokémon from becoming frozen, for example from moves like",https://pokemondb.net/ability/magma-armor
Venusaur,Thick Fat,reduces the damage taken from,https://pokemondb.net/ability/thick-fat
Swalot,Liquid Ooze,Damages attackers using any draining move.,https://pokemondb.net/ability/liquid-ooze
Medicham,Pure Power,Raises the Pokémon's Attack stat.,https://pokemondb.net/ability/pure-power
Chinchou,Volt Absorb,A Pokémon with,https://pokemondb.net/ability/volt-absorb
Articuno,Pressure,makes any attack targeted at the ability-bearer - regardless of whether it hits - use 2 PP instead of 1.,https://pokemondb.net/ability/pressure
Machop,Guts,"raises the ability-bearer's Attack by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If burnt, the Pokémon does not suffer the usual drop in Attack.",https://pokemondb.net/ability/guts
Ekans,Intimidate,lower's the Attack of all opponents by one stage when the ability-bearer switches in (including the start of a battle).,https://pokemondb.net/ability/intimidate
Pikachu,Static,If a Pokémon with,https://pokemondb.net/ability/static
Delcatty,Normalize,causes all moves used by the Pokémon to become,https://pokemondb.net/ability/normalize
Sableye,Stall,The Pokémon moves after all other Pokémon do.,https://pokemondb.net/ability/stall
Shedinja,Wonder Guard,prevents damage from direct attacks unless they are super-effective. Shedinja is the only Pokémon to have this ability so this means that only,https://pokemondb.net/ability/wonder-guard
Wartortle,Torrent,increases the power of,https://pokemondb.net/ability/torrent
Metapod,Shed Skin,The Pokémon may heal its own status problems.,https://pokemondb.net/ability/shed-skin
Shroomish,Quick Feet,"raises the ability-bearer's Speed by 50% when inflicted by a major status ailment (poison, burn, paralysis, freeze or sleep). If paralyzed, the Pokémon does not suffer the usual drop in Speed.",https://pokemondb.net/ability/quick-feet
Gardevoir,Trace,The Pokémon copies a foe's Ability.,https://pokemondb.net/ability/trace
Lugia,Multiscale,Reduces damage when HP is full.,https://pokemondb.net/ability/multiscale
Slowking,Curious Medicine,Resets all stat changes upon entering battlefield.,https://pokemondb.net/ability/curious-medicine
Ditto,Imposter,It transforms itself into the Pokémon it is facing.,https://pokemondb.net/ability/imposter
Kangaskhan,Parental Bond,"allows the ability-bearer to attack twice. The second attack hits with 25% of the power, so in effect it is equivalent to a 25% boost to all attacks.",https://pokemondb.net/ability/parental-bond
Weezing,Neutralizing Gas,Neutralizes abilities of all Pokémon in battle.,https://pokemondb.net/ability/neutralizing-gas
Muk,Power of Alchemy,The Pokémon copies the Ability of a defeated ally.,https://pokemondb.net/ability/power-of-alchemy
Golem,Galvanize,Normal-type moves become Electric-type moves and their power boosted.,https://pokemondb.net/ability/galvanize
Rapidash,Pastel Veil,prevents the Pokémon and its teammates from being poisoned. It also cures teammates of poisoning when it enters the battlefield.,https://pokemondb.net/ability/pastel-veil
Slowbro,Quick Draw,,https://pokemondb.net/ability/quick-draw
Dugtrio,Tangling Hair,Contact with the Pokémon lowers the attacker's Speed stat.,https://pokemondb.net/ability/tangling-hair
Raichu,Surge Surfer,doubles the bearer's Speed when,https://pokemondb.net/ability/surge-surfer
